eval,stage_eval,chi2,stage,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
82,238,8.46647123684982,optuna,0.6916092857602856,18.573218801547746,0.2281095694519129,10.76828643142561,16.655047714755966,5.449164499113263,4.3107778779435275,1.7770143131297016,3.687770476129012,0.0001667348975775405,2.0938677795689773,0.04439719383020856,206.166869497756
83,239,9.181756843382045,optuna,0.9784845017592287,16.30963253130816,0.10397884316155821,12.642223475784638,17.151148640805307,3.2642664634623033,5.7595160648462835,2.7306291734308243,6.020174150068076,0.00025614198699752607,1.9801639255615886,0.01585488709298397,258.78744610642457
83,240,9.633352824364216,optuna,0.9784845017592287,16.30963253130816,0.10397884316155821,12.642223475784638,17.151148640805307,3.2642664634623033,5.7595160648462835,2.7306291734308243,6.020174150068076,0.00025614198699752607,1.9801639255615886,0.01585488709298397,258.78744610642457
83,241,9.737355623940433,optuna,0.9784845017592287,16.30963253130816,0.10397884316155821,12.642223475784638,17.151148640805307,3.2642664634623033,5.7595160648462835,2.7306291734308243,6.020174150068076,0.00025614198699752607,1.9801639255615886,0.01585488709298397,258.78744610642457
84,242,6.792947843581453,optuna,0.5925907101332124,14.091518081389392,0.05113930955753268,12.285987055402021,15.968029953791236,7.0627593218497,9.762784434523834,1.6676983090755468,5.800432042067273,0.00016439496882393741,2.152661152543238,0.022193172663083315,101.3685731890709
84,243,7.4056017329483526,optuna,0.5925907101332124,14.091518081389392,0.05113930955753268,12.285987055402021,15.968029953791236,7.0627593218497,9.762784434523834,1.6676983090755468,5.800432042067273,0.00016439496882393741,2.152661152543238,0.022193172663083315,101.3685731890709
84,244,7.280300796697394,optuna,0.5925907101332124,14.091518081389392,0.05113930955753268,12.285987055402021,15.968029953791236,7.0627593218497,9.762784434523834,1.6676983090755468,5.800432042067273,0.00016439496882393741,2.152661152543238,0.022193172663083315,101.3685731890709
85,245,9.993814556184432,optuna,0.754049975605701,24.063835087997614,0.16081036015671318,15.117132079575267,15.248864175257333,2.6375455082552834,2.2889387825318446,2.558474209811782,4.166273189689419,7.214888170801712e-05,1.916595702273189,0.007145860843759347,107.69252590867
85,246,10.094822818480422,optuna,0.754049975605701,24.063835087997614,0.16081036015671318,15.117132079575267,15.248864175257333,2.6375455082552834,2.2889387825318446,2.558474209811782,4.166273189689419,7.214888170801712e-05,1.916595702273189,0.007145860843759347,107.69252590867
85,247,9.990968558447014,optuna,0.754049975605701,24.063835087997614,0.16081036015671318,15.117132079575267,15.248864175257333,2.6375455082552834,2.2889387825318446,2.558474209811782,4.166273189689419,7.214888170801712e-05,1.916595702273189,0.007145860843759347,107.69252590867
86,248,10.774266078325217,optuna,0.738389519406003,14.229166970828071,0.014070850817512415,12.94235169184378,17.538669637918748,2.241004547260367,3.7863209932081787,2.898508558251947,7.302046656751126,0.00014109325217433787,1.9148364959723665,0.0012715614854510652,103.02135083366208
86,249,10.886187795094138,optuna,0.738389519406003,14.229166970828071,0.014070850817512415,12.94235169184378,17.538669637918748,2.241004547260367,3.7863209932081787,2.898508558251947,7.302046656751126,0.00014109325217433787,1.9148364959723665,0.0012715614854510652,103.02135083366208
86,250,10.461726513603383,optuna,0.738389519406003,14.229166970828071,0.014070850817512415,12.94235169184378,17.538669637918748,2.241004547260367,3.7863209932081787,2.898508558251947,7.302046656751126,0.00014109325217433787,1.9148364959723665,0.0012715614854510652,103.02135083366208
87,251,10.221605693196283,optuna,0.4938672414869564,9.677473513314006,0.27516164397145504,11.797443195129505,15.103337800427596,9.431545667041691,8.07533029888111,1.6104769171186217,4.283686792758621,0.00012476928477520095,1.3585540663087026,0.027872645553850602,190.14444439974594
87,252,9.849209206590082,optuna,0.4938672414869564,9.677473513314006,0.27516164397145504,11.797443195129505,15.103337800427596,9.431545667041691,8.07533029888111,1.6104769171186217,4.283686792758621,0.00012476928477520095,1.3585540663087026,0.027872645553850602,190.14444439974594
87,253,9.783631659356631,optuna,0.4938672414869564,9.677473513314006,0.27516164397145504,11.797443195129505,15.103337800427596,9.431545667041691,8.07533029888111,1.6104769171186217,4.283686792758621,0.00012476928477520095,1.3585540663087026,0.027872645553850602,190.14444439974594
88,254,15.134469918661992,optuna,0.5361881740535729,14.97184435425986,0.4224036207502078,17.410309143919882,19.651076476508823,6.1121563127799865,4.527223657555989,1.0425391121685654,7.292436707842217,1.4736985353998701e-06,2.0457302982613896,0.004733917590705678,73.36663901304523
88,255,15.414920648281509,optuna,0.5361881740535729,14.97184435425986,0.4224036207502078,17.410309143919882,19.651076476508823,6.1121563127799865,4.527223657555989,1.0425391121685654,7.292436707842217,1.4736985353998701e-06,2.0457302982613896,0.004733917590705678,73.36663901304523
88,256,15.051120833698851,optuna,0.5361881740535729,14.97184435425986,0.4224036207502078,17.410309143919882,19.651076476508823,6.1121563127799865,4.527223657555989,1.0425391121685654,7.292436707842217,1.4736985353998701e-06,2.0457302982613896,0.004733917590705678,73.36663901304523
89,257,40.92082748522177,optuna,0.3574371413224089,0.6588870553571723,0.4945642577246144,12.59321405818528,16.282378849209266,19.388989393488828,2.8154564456089393,2.8612712334292825,8.567463357925298,0.0004292850066973604,0.4110308767290536,0.0018194199025154043,214.4277723916527
89,258,40.70175193344369,optuna,0.3574371413224089,0.6588870553571723,0.4945642577246144,12.59321405818528,16.282378849209266,19.388989393488828,2.8154564456089393,2.8612712334292825,8.567463357925298,0.0004292850066973604,0.4110308767290536,0.0018194199025154043,214.4277723916527
90,259,26.014712442333064,optuna,0.9410135243047145,19.119524024510987,0.18500335477662627,10.403864945097146,17.14453890102598,8.503511889162242,10.275095883442638,6.299868266439443,4.407437364143737,0.00029501359199515684,2.3482982291498775,0.014596025277124978,571.4046585079789
90,260,26.328353133053355,optuna,0.9410135243047145,19.119524024510987,0.18500335477662627,10.403864945097146,17.14453890102598,8.503511889162242,10.275095883442638,6.299868266439443,4.407437364143737,0.00029501359199515684,2.3482982291498775,0.014596025277124978,571.4046585079789
90,261,26.797816027024215,optuna,0.9410135243047145,19.119524024510987,0.18500335477662627,10.403864945097146,17.14453890102598,8.503511889162242,10.275095883442638,6.299868266439443,4.407437364143737,0.00029501359199515684,2.3482982291498775,0.014596025277124978,571.4046585079789
91,262,11.278037935920473,optuna,0.8855824872303917,9.67064487265642,0.45513448596780814,10.910551739857826,17.65380312029547,16.20599038212654,1.5531488936906213,2.328903136106759,5.811810837003591,0.00015484500101052605,2.068920099971571,0.0037255895433474977,114.60460691343972
91,263,10.736086163550272,optuna,0.8855824872303917,9.67064487265642,0.45513448596780814,10.910551739857826,17.65380312029547,16.20599038212654,1.5531488936906213,2.328903136106759,5.811810837003591,0.00015484500101052605,2.068920099971571,0.0037255895433474977,114.60460691343972
91,264,10.831785169778422,optuna,0.8855824872303917,9.67064487265642,0.45513448596780814,10.910551739857826,17.65380312029547,16.20599038212654,1.5531488936906213,2.328903136106759,5.811810837003591,0.00015484500101052605,2.068920099971571,0.0037255895433474977,114.60460691343972
92,265,10.393865107795627,optuna,0.9289413690004704,9.540303793044737,0.2411841659966365,15.167805894369996,16.80738843676387,1.426514204012722,3.994843388993902,1.6396196932104692,7.657238771981346,0.00019762704704588864,1.801649319263976,0.004478749402842091,155.03011066952894
92,266,11.401401783025557,optuna,0.9289413690004704,9.540303793044737,0.2411841659966365,15.167805894369996,16.80738843676387,1.426514204012722,3.994843388993902,1.6396196932104692,7.657238771981346,0.00019762704704588864,1.801649319263976,0.004478749402842091,155.03011066952894
92,267,11.844920729189402,optuna,0.9289413690004704,9.540303793044737,0.2411841659966365,15.167805894369996,16.80738843676387,1.426514204012722,3.994843388993902,1.6396196932104692,7.657238771981346,0.00019762704704588864,1.801649319263976,0.004478749402842091,155.03011066952894
93,268,23.353128152436046,optuna,0.20208730519519946,21.740580278127133,0.9508032121327868,14.199389747850738,15.49085611424267,9.140486379014883,10.506596221942528,8.08366868134388,12.334488844321672,1.847114361605845e-05,2.9693686345651367,0.025935974801165378,205.11368786396412
